pose,definition,intensity,duration,instructions,muscle_groups
Tree Pose (Vrikshasana),A balancing pose that strengthens the legs, core, and improves focus.,Low to Moderate,30 seconds to 1 minute per side,"Stand with feet together. Shift your weight onto your left foot. Place your right foot on your inner left thigh or calf. Bring your hands together at your chest or stretch them overhead.",legs, core
Triangle Pose (Trikonasana),A standing pose that stretches the legs, hips, and spine while opening the chest.,Moderate,30 seconds to 1 minute per side,"Stand with feet wide apart. Turn your right foot out 90 degrees, left foot slightly in. Extend your arms parallel to the floor. Reach your right hand towards your right shin or the floor, extending your left arm upwards.",legs, spine, hips
Cat-Cow Pose (Marjaryasana-Bitilasana),A gentle flow between two poses that warms up the spine and relieves tension.,Low,1-3 minutes,"Start on hands and knees in a tabletop position. Inhale, arch your back (Cow Pose), lifting your head and tailbone. Exhale, round your spine (Cat Pose), tucking your chin and tailbone.",spine, neck
Cobra Pose (Bhujangasana),A backbend that strengthens the spine and opens the chest.,Low to Moderate,15-30 seconds,"Lie face down with palms under shoulders. Press into your hands, lifting your chest off the ground. Keep elbows close to your body and shoulders relaxed. Gaze slightly upward.",spine, chest, shoulders
Half Lord of the Fishes Pose (Ardha Matsyendrasana),A seated twist that stretches the spine and shoulders while improving digestion.,Moderate,30 seconds to 1 minute per side,"Sit with legs extended. Bend your right knee and place your right foot outside your left thigh. Twist your torso to the right, placing your left elbow on the outside of your right knee. Place your right hand on the floor behind you.",spine, shoulders
Boat Pose (Navasana),A core-strengthening pose that also engages the hip flexors and spine.,Moderate to High,15-30 seconds,"Sit with knees bent and feet flat on the floor. Lean back slightly, lifting your feet off the ground. Extend your arms forward, parallel to the floor. Straighten your legs, forming a V shape with your body.",core, hip flexors, spine
Seated Forward Bend (Paschimottanasana),A forward bend that stretches the spine, hamstrings, and calves.,Moderate,1-3 minutes,"Sit with legs extended straight. Inhale, lengthen your spine. Exhale, fold forward, reaching for your feet or shins. Keep your back straight and neck relaxed.",spine, hamstrings, calves
Camel Pose (Ustrasana),A backbend that stretches the front of the body and strengthens the back.,High,30 seconds to 1 minute,"Kneel on the floor with knees hip-width apart. Place your hands on your lower back or reach for your heels. Press your hips forward, lifting your chest and arching your back. Gaze upwards.",back, chest, shoulders, hips
Fire Log Pose (Agnistambhasana),A hip opener that stretches the outer hips and thighs.,Moderate,1-3 minutes per side,"Sit with your legs extended. Bend your right knee, stacking your right shin on top of your left. Flex both feet. Fold forward, resting your forearms on the floor.",hips, thighs
Dolphin Pose (Ardha Pincha Mayurasana),A forearm balance that strengthens the arms, shoulders, and core while stretching the hamstrings.,High,1-3 minutes,"Start on hands and knees. Lower your forearms to the floor, shoulder-width apart. Lift your hips towards the ceiling, straightening your legs. Keep your head between your arms, gaze slightly forward.",arms, shoulders, core, hamstrings
Garland Pose (Malasana),A deep squat that opens the hips and stretches the lower back.,Moderate,1-3 minutes,"Stand with feet slightly wider than hip-width apart. Bend your knees, lowering your hips into a squat. Bring your hands together at your chest, pressing your elbows into your inner thighs. Keep your spine straight and chest lifted.",hips, lower back
Locust Pose (Salabhasana),A prone backbend that strengthens the back, glutes, and legs.,Moderate,15-30 seconds,"Lie face down with arms by your sides. Lift your chest, arms, and legs off the ground. Keep your neck in line with your spine. Hold and breathe deeply.",back, glutes, legs
Side Plank (Vasisthasana),A balancing pose that strengthens the arms, core, and legs.,High,15-30 seconds per side,"Start in a plank position. Shift your weight onto your right hand and outer edge of your right foot. Stack your left foot on top of your right. Lift your left arm towards the ceiling, keeping your body in a straight line.",arms, core, legs
Fish Pose (Matsyasana),A backbend that opens the chest and stretches the neck and throat.,Moderate,1-2 minutes,"Lie on your back with knees bent and feet flat on the floor. Lift your chest, placing the crown of your head on the floor. Keep your hands under your hips or arms extended by your sides. Breathe deeply and relax.",chest, neck, throat
Half Moon Pose (Ardha Chandrasana),A balancing pose that strengthens the legs and core while improving focus.,Moderate to High,30 seconds to 1 minute per side,"Stand with feet together. Shift your weight onto your right foot. Extend your right hand towards the floor, lifting your left leg parallel to the ground. Reach your left arm towards the ceiling, keeping your gaze forward.",legs, core
